"Blocking Key Value","Frequency"
"10115","452"
"1210","444"
"20121","432"
"8004","428"
"1620","420"
"20146","400"
"20148","384"
"10557","380"
"2300","375"
"1015,20099","366"
"75014","15779"
"10623","363"
"75007","14544"
"1017","362"
"75018","14343"
"75002","13846"
"8001","13497"
"28005","11550"
"75004","11100"
"8002","10686"
"75012","10298"
"28004","9855"
"75008","62025"
"1010","59000"
"75009","42136"
"75011","39259"
"75017","31816"
"75015","31160"
"75001","30900"
"75006","16980"
"75005","16584"
"1000","16336"
"1050","9612"
"75013","9594"
"11000","8892"
"8003","7350"
"10117","6860"
"28012","6748"
"75003","5880"
"75010","5640"
"1060","5490"
"8015","4905"
"69002","4740"
"75016","4700"
"69006","4395"
"1070","4176"
"8011","3528"
"69003","3454"
"1040","3377"
"75116","3344"
"1030","3240"
"1020","2770"
"1190","2672"
"28001","2556"
"28015","2520"
"28014","2464"
"75019","2408"
"28013","2235"
"69007","2214"
"28006","2208"
"75020","2172"
"28008","1930"
"28045","1782"
"8006","1704"
"20354","1656"
"17000","1624"
"20123","1612"
"28010","1595"
"8005","1575"
"10178","1548"
"20457","1500"
"28003","1310"
"8036","1265"
"69001","1250"
"20124","1236"
"8013","1212"
"20357","1180"
"28017","1045"
"20359","1032"
"8037","928"
"8008","924"
"1051","910"
"1090","896"
"20459","890"
"28020","852"
"10435","833"
"8010","804"
"20095","777"
"1080","745"
"28036","736"
"28009","723"
"8014","714"
"2000","700"
"14000","644"
"2100","630"
"69005","570"
"28043","545"
"20122,20129","520"
"69009","510"
"22765","500"
